 Area , Condition , Age Group , Sex , Year , Rate , Rate CV , Rate_95%_CI_Lower , Rate_95%_CI_Upper , Number , Population 
Canada,Diabetes,'1+',Both sexes,2000,4.22,0.09,4.21,4.23,"1,315,880","31,171,430"
Canada,Diabetes,'1-19',Both sexes,2000,0.23,0.77,0.22,0.23,"17,080","7,540,300"
Canada,Diabetes,'20-34',Both sexes,2000,0.76,0.45,0.76,0.77,"49,800","6,517,490"
Canada,Diabetes,'35-49',Both sexes,2000,2.45,0.23,2.44,2.46,"193,460","7,893,540"
Canada,Diabetes,'50-64',Both sexes,2000,8.28,0.15,8.25,8.3,"422,400","5,103,910"
Canada,Diabetes,'65-79',Both sexes,2000,15.58,0.14,15.54,15.63,"478,210","3,068,750"
Canada,Diabetes,'80+',Both sexes,2000,14.79,0.25,14.72,14.87,"154,930","1,047,440"
Canada,Diabetes,'1+',Females,2000,4,0.13,3.99,4.01,"630,040","15,765,020"
Canada,Diabetes,'1-19',Females,2000,0.22,1.1,0.22,0.23,"8,210","3,676,730"
Canada,Diabetes,'20-34',Females,2000,0.82,0.61,0.81,0.83,"26,520","3,240,670"
Canada,Diabetes,'35-49',Females,2000,2.26,0.33,2.25,2.28,"89,220","3,943,470"
Canada,Diabetes,'50-64',Females,2000,7.02,0.24,6.99,7.05,"179,860","2,561,580"
Canada,Diabetes,'65-79',Females,2000,14,0.21,13.94,14.06,"232,320","1,659,280"
Canada,Diabetes,'80+',Females,2000,13.75,0.33,13.66,13.83,"93,920","683,290"
Canada,Diabetes,'1+',Males,2000,4.45,0.12,4.44,4.46,"685,850","15,406,430"
Canada,Diabetes,'1-19',Males,2000,0.23,1.06,0.23,0.23,"8,880","3,863,580"
Canada,Diabetes,'20-34',Males,2000,0.71,0.66,0.7,0.72,"23,290","3,276,820"
Canada,Diabetes,'35-49',Males,2000,2.64,0.31,2.62,2.66,"104,240","3,950,080"
Canada,Diabetes,'50-64',Males,2000,9.54,0.2,9.5,9.58,"242,540","2,542,330"
Canada,Diabetes,'65-79',Males,2000,17.45,0.2,17.38,17.51,"245,890","1,409,470"
Canada,Diabetes,'80+',Males,2000,16.75,0.4,16.62,16.89,"61,010","364,150"
Canada,Diabetes,'1+',Both sexes,2001,4.56,0.08,4.55,4.57,"1,437,020","31,519,190"
Canada,Diabetes,'1-19',Both sexes,2001,0.24,0.74,0.24,0.24,"18,050","7,525,810"
Canada,Diabetes,'20-34',Both sexes,2001,0.83,0.43,0.82,0.83,"53,960","6,539,730"
Canada,Diabetes,'35-49',Both sexes,2001,2.67,0.22,2.66,2.68,"212,580","7,958,910"
Canada,Diabetes,'50-64',Both sexes,2001,8.77,0.15,8.75,8.8,"465,160","5,302,620"
Canada,Diabetes,'65-79',Both sexes,2001,16.6,0.14,16.56,16.65,"513,530","3,093,200"
Canada,Diabetes,'80+',Both sexes,2001,15.81,0.24,15.74,15.89,"173,750","1,098,930"
Canada,Diabetes,'1+',Females,2001,4.31,0.12,4.3,4.32,"686,610","15,937,460"
Canada,Diabetes,'1-19',Females,2001,0.24,1.07,0.23,0.24,"8,680","3,669,330"
Canada,Diabetes,'20-34',Females,2001,0.89,0.59,0.88,0.9,"28,960","3,251,270"
Canada,Diabetes,'35-49',Females,2001,2.48,0.32,2.46,2.49,"98,520","3,974,780"
Canada,Diabetes,'50-64',Females,2001,7.44,0.22,7.41,7.47,"197,930","2,661,090"
Canada,Diabetes,'65-79',Females,2001,14.85,0.2,14.79,14.91,"247,480","1,666,150"
Canada,Diabetes,'80+',Females,2001,14.7,0.31,14.61,14.79,"105,060","714,860"
Canada,Diabetes,'1+',Males,2001,4.82,0.12,4.81,4.83,"750,410","15,581,730"
Canada,Diabetes,'1-19',Males,2001,0.24,1.03,0.24,0.25,"9,370","3,856,470"
Canada,Diabetes,'20-34',Males,2001,0.76,0.63,0.75,0.77,"25,000","3,288,450"
Canada,Diabetes,'35-49',Males,2001,2.86,0.3,2.85,2.88,"114,060","3,984,130"
Canada,Diabetes,'50-64',Males,2001,10.12,0.19,10.08,10.15,"267,230","2,641,530"
Canada,Diabetes,'65-79',Males,2001,18.64,0.19,18.57,18.71,"266,050","1,427,060"
Canada,Diabetes,'80+',Males,2001,17.88,0.38,17.75,18.02,"68,680","384,060"
Canada,Diabetes,'1+',Both sexes,2002,4.9,0.08,4.9,4.91,"1,562,100","31,861,570"
Canada,Diabetes,'1-19',Both sexes,2002,0.25,0.72,0.25,0.26,"19,050","7,509,320"
Canada,Diabetes,'20-34',Both sexes,2002,0.88,0.42,0.87,0.89,"57,870","6,574,300"
Canada,Diabetes,'35-49',Both sexes,2002,2.9,0.21,2.88,2.91,"231,480","7,992,350"
Canada,Diabetes,'50-64',Both sexes,2002,9.27,0.14,9.25,9.3,"511,210","5,512,280"
Canada,Diabetes,'65-79',Both sexes,2002,17.58,0.13,17.53,17.63,"549,620","3,126,480"
Canada,Diabetes,'80+',Both sexes,2002,16.82,0.23,16.74,16.89,"192,860","1,146,830"
Canada,Diabetes,'1+',Females,2002,4.63,0.12,4.62,4.64,"745,870","16,109,360"
Canada,Diabetes,'1-19',Females,2002,0.25,1.05,0.24,0.25,"9,130","3,661,500"
Canada,Diabetes,'20-34',Females,2002,0.96,0.56,0.95,0.97,"31,400","3,268,340"
Canada,Diabetes,'35-49',Females,2002,2.7,0.3,2.68,2.72,"107,790","3,991,140"
Canada,Diabetes,'50-64',Females,2002,7.87,0.21,7.84,7.91,"217,880","2,766,980"
Canada,Diabetes,'65-79',Females,2002,15.69,0.19,15.64,15.76,"263,250","1,677,290"
Canada,Diabetes,'80+',Females,2002,15.65,0.29,15.56,15.74,"116,430","744,120"
Canada,Diabetes,'1+',Males,2002,5.18,0.11,5.17,5.19,"816,240","15,752,210"
Canada,Diabetes,'1-19',Males,2002,0.26,1,0.25,0.26,"9,920","3,847,810"
Canada,Diabetes,'20-34',Males,2002,0.8,0.61,0.79,0.81,"26,470","3,305,960"
Canada,Diabetes,'35-49',Males,2002,3.09,0.28,3.07,3.11,"123,690","4,001,210"
Canada,Diabetes,'50-64',Males,2002,10.69,0.18,10.65,10.72,"293,340","2,745,300"
Canada,Diabetes,'65-79',Males,2002,19.76,0.19,19.69,19.83,"286,370","1,449,200"
Canada,Diabetes,'80+',Males,2002,18.98,0.36,18.85,19.12,"76,440","402,720"
Canada,Diabetes,'1+',Both sexes,2003,5.22,0.08,5.21,5.23,"1,681,170","32,200,630"
Canada,Diabetes,'1-19',Both sexes,2003,0.27,0.71,0.26,0.27,"20,020","7,483,360"
Canada,Diabetes,'20-34',Both sexes,2003,0.93,0.4,0.92,0.93,"61,350","6,619,280"
Canada,Diabetes,'35-49',Both sexes,2003,3.1,0.2,3.09,3.11,"248,170","8,008,500"
Canada,Diabetes,'50-64',Both sexes,2003,9.69,0.13,9.66,9.72,"555,110","5,728,450"
Canada,Diabetes,'65-79',Both sexes,2003,18.44,0.13,18.39,18.49,"584,000","3,167,140"
Canada,Diabetes,'80+',Both sexes,2003,17.8,0.22,17.72,17.88,"212,510","1,193,880"
Canada,Diabetes,'1+',Females,2003,4.93,0.11,4.92,4.94,"802,530","16,277,890"
Canada,Diabetes,'1-19',Females,2003,0.26,1.02,0.26,0.27,"9,630","3,648,960"
Canada,Diabetes,'20-34',Females,2003,1.02,0.55,1.01,1.03,"33,550","3,290,550"
Canada,Diabetes,'35-49',Females,2003,2.91,0.29,2.89,2.92,"116,160","3,996,870"
Canada,Diabetes,'50-64',Females,2003,8.26,0.21,8.22,8.29,"237,560","2,877,200"
Canada,Diabetes,'65-79',Females,2003,16.43,0.19,16.37,16.49,"277,960","1,692,190"
Canada,Diabetes,'80+',Females,2003,16.53,0.28,16.44,16.62,"127,660","772,120"
Canada,Diabetes,'1+',Males,2003,5.52,0.11,5.51,5.53,"878,630","15,922,730"
Canada,Diabetes,'1-19',Males,2003,0.27,0.98,0.27,0.28,"10,400","3,834,400"
Canada,Diabetes,'20-34',Males,2003,0.83,0.6,0.83,0.84,"27,790","3,328,720"
Canada,Diabetes,'35-49',Males,2003,3.29,0.28,3.27,3.31,"132,000","4,011,630"
Canada,Diabetes,'50-64',Males,2003,11.14,0.18,11.1,11.18,"317,550","2,851,260"
Canada,Diabetes,'65-79',Males,2003,20.75,0.18,20.68,20.82,"306,050","1,474,970"
Canada,Diabetes,'80+',Males,2003,20.12,0.34,19.98,20.25,"84,840","421,760"
Canada,Diabetes,'1+',Both sexes,2004,5.56,0.07,5.55,5.56,"1,807,680","32,535,780"
Canada,Diabetes,'1-19',Both sexes,2004,0.28,0.69,0.28,0.28,"20,810","7,462,690"
Canada,Diabetes,'20-34',Both sexes,2004,0.97,0.39,0.96,0.97,"64,280","6,655,900"
Canada,Diabetes,'35-49',Both sexes,2004,3.3,0.19,3.28,3.31,"264,150","8,012,120"
Canada,Diabetes,'50-64',Both sexes,2004,10.14,0.13,10.11,10.16,"604,070","5,958,620"
Canada,Diabetes,'65-79',Both sexes,2004,19.38,0.13,19.33,19.43,"621,500","3,207,150"
Canada,Diabetes,'80+',Both sexes,2004,18.79,0.21,18.72,18.87,"232,890","1,239,330"
Canada,Diabetes,'1+',Females,2004,5.25,0.11,5.24,5.26,"863,050","16,446,050"
Canada,Diabetes,'1-19',Females,2004,0.28,1,0.27,0.28,"10,010","3,639,660"
Canada,Diabetes,'20-34',Females,2004,1.06,0.53,1.05,1.08,"35,220","3,309,900"
Canada,Diabetes,'35-49',Females,2004,3.1,0.28,3.08,3.12,"124,020","3,997,910"
Canada,Diabetes,'50-64',Females,2004,8.68,0.2,8.65,8.71,"259,800","2,992,620"
Canada,Diabetes,'65-79',Females,2004,17.25,0.18,17.19,17.31,"294,520","1,707,210"
Canada,Diabetes,'80+',Females,2004,17.46,0.27,17.37,17.55,"139,490","798,790"
Canada,Diabetes,'1+',Males,2004,5.87,0.1,5.86,5.88,"944,630","16,089,720"
Canada,Diabetes,'1-19',Males,2004,0.28,0.96,0.28,0.29,"10,800","3,823,040"
Canada,Diabetes,'20-34',Males,2004,0.87,0.59,0.86,0.88,"29,060","3,345,990"
Canada,Diabetes,'35-49',Males,2004,3.49,0.27,3.47,3.51,"140,120","4,014,200"
Canada,Diabetes,'50-64',Males,2004,11.61,0.17,11.57,11.65,"344,260","2,966,000"
Canada,Diabetes,'65-79',Males,2004,21.8,0.17,21.73,21.87,"326,990","1,499,950"
Canada,Diabetes,'80+',Males,2004,21.2,0.33,21.07,21.34,"93,410","440,550"
Canada,Diabetes,'1+',Both sexes,2005,5.9,0.07,5.9,5.91,"1,944,180","32,927,030"
Canada,Diabetes,'1-19',Both sexes,2005,0.29,0.68,0.29,0.29,"21,580","7,462,740"
Canada,Diabetes,'20-34',Both sexes,2005,1,0.39,0.99,1.01,"67,100","6,700,020"
Canada,Diabetes,'35-49',Both sexes,2005,3.5,0.19,3.49,3.51,"281,250","8,031,240"
Canada,Diabetes,'50-64',Both sexes,2005,10.59,0.12,10.56,10.62,"655,340","6,188,060"
Canada,Diabetes,'65-79',Both sexes,2005,20.34,0.12,20.29,20.39,"662,900","3,258,860"
Canada,Diabetes,'80+',Both sexes,2005,19.91,0.2,19.83,19.98,"256,030","1,286,130"
Canada,Diabetes,'1+',Females,2005,5.58,0.1,5.56,5.59,"928,110","16,644,210"
Canada,Diabetes,'1-19',Females,2005,0.28,0.98,0.28,0.29,"10,330","3,639,710"
Canada,Diabetes,'20-34',Females,2005,1.11,0.52,1.09,1.12,"36,870","3,334,750"
Canada,Diabetes,'35-49',Females,2005,3.31,0.27,3.29,3.33,"132,670","4,008,480"
Canada,Diabetes,'50-64',Females,2005,9.11,0.19,9.08,9.14,"283,080","3,107,670"
Canada,Diabetes,'65-79',Females,2005,18.08,0.18,18.01,18.14,"312,420","1,728,310"
Canada,Diabetes,'80+',Females,2005,18.51,0.26,18.41,18.6,"152,740","825,290"
Canada,Diabetes,'1+',Males,2005,6.24,0.1,6.23,6.25,"1,016,070","16,282,820"
Canada,Diabetes,'1-19',Males,2005,0.29,0.94,0.29,0.3,"11,240","3,823,010"
Canada,Diabetes,'20-34',Males,2005,0.9,0.58,0.89,0.91,"30,240","3,365,270"
Canada,Diabetes,'35-49',Males,2005,3.69,0.26,3.67,3.71,"148,580","4,022,760"
Canada,Diabetes,'50-64',Males,2005,12.09,0.16,12.05,12.12,"372,270","3,080,410"
Canada,Diabetes,'65-79',Males,2005,22.9,0.17,22.82,22.97,"350,470","1,530,540"
Canada,Diabetes,'80+',Males,2005,22.41,0.31,22.28,22.55,"103,280","460,830"
Canada,Diabetes,'1+',Both sexes,2006,6.31,0.07,6.3,6.32,"2,089,420","33,123,990"
Canada,Diabetes,'1-19',Both sexes,2006,0.3,0.67,0.3,0.3,"22,290","7,436,260"
Canada,Diabetes,'20-34',Both sexes,2006,1.04,0.38,1.03,1.04,"69,570","6,716,150"
Canada,Diabetes,'35-49',Both sexes,2006,3.74,0.18,3.73,3.76,"297,400","7,941,720"
Canada,Diabetes,'50-64',Both sexes,2006,11.12,0.12,11.09,11.14,"708,820","6,376,200"
Canada,Diabetes,'65-79',Both sexes,2006,21.38,0.12,21.33,21.43,"709,580","3,318,170"
Canada,Diabetes,'80+',Both sexes,2006,21.1,0.19,21.02,21.18,"281,750","1,335,470"
Canada,Diabetes,'1+',Females,2006,5.94,0.1,5.93,5.96,"995,790","16,750,590"
Canada,Diabetes,'1-19',Females,2006,0.29,0.97,0.29,0.3,"10,660","3,626,600"
Canada,Diabetes,'20-34',Females,2006,1.14,0.51,1.13,1.15,"38,080","3,347,700"
Canada,Diabetes,'35-49',Females,2006,3.54,0.27,3.52,3.56,"140,310","3,965,450"
Canada,Diabetes,'50-64',Females,2006,9.59,0.18,9.56,9.62,"307,350","3,204,620"
Canada,Diabetes,'65-79',Females,2006,18.95,0.17,18.88,19.01,"332,280","1,753,850"
Canada,Diabetes,'80+',Females,2006,19.6,0.24,19.51,19.7,"167,100","852,360"
Canada,Diabetes,'1+',Males,2006,6.68,0.1,6.67,6.69,"1,093,630","16,373,400"
Canada,Diabetes,'1-19',Males,2006,0.31,0.93,0.3,0.31,"11,630","3,809,650"
Canada,Diabetes,'20-34',Males,2006,0.93,0.56,0.92,0.94,"31,480","3,368,440"
Canada,Diabetes,'35-49',Males,2006,3.95,0.25,3.93,3.97,"157,080","3,976,270"
Canada,Diabetes,'50-64',Males,2006,12.66,0.16,12.62,12.7,"401,470","3,171,590"
Canada,Diabetes,'65-79',Males,2006,24.12,0.16,24.04,24.2,"377,300","1,564,320"
Canada,Diabetes,'80+',Males,2006,23.73,0.3,23.6,23.87,"114,660","483,120"
Canada,Diabetes,'1+',Both sexes,2007,6.65,0.07,6.64,6.66,"2,219,730","33,384,370"
Canada,Diabetes,'1-19',Both sexes,2007,0.31,0.66,0.3,0.31,"22,940","7,430,640"
Canada,Diabetes,'20-34',Both sexes,2007,1.06,0.37,1.05,1.07,"71,570","6,763,250"
Canada,Diabetes,'35-49',Both sexes,2007,3.94,0.18,3.93,3.96,"309,290","7,845,000"
Canada,Diabetes,'50-64',Both sexes,2007,11.5,0.12,11.47,11.52,"755,610","6,571,790"
Canada,Diabetes,'65-79',Both sexes,2007,22.23,0.12,22.18,22.28,"753,620","3,390,630"
Canada,Diabetes,'80+',Both sexes,2007,22.17,0.18,22.1,22.25,"306,680","1,383,050"
Canada,Diabetes,'1+',Females,2007,6.25,0.1,6.24,6.27,"1,056,070","16,885,950"
Canada,Diabetes,'1-19',Females,2007,0.3,0.96,0.3,0.31,"10,920","3,623,080"
Canada,Diabetes,'20-34',Females,2007,1.15,0.51,1.14,1.17,"38,930","3,374,860"
Canada,Diabetes,'35-49',Females,2007,3.72,0.26,3.7,3.74,"145,870","3,919,250"
Canada,Diabetes,'50-64',Females,2007,9.94,0.17,9.91,9.98,"328,580","3,304,340"
Canada,Diabetes,'65-79',Females,2007,19.65,0.17,19.58,19.71,"351,030","1,786,640"
Canada,Diabetes,'80+',Females,2007,20.59,0.24,20.49,20.68,"180,720","877,750"
Canada,Diabetes,'1+',Males,2007,7.05,0.09,7.04,7.07,"1,163,650","16,498,420"
Canada,Diabetes,'1-19',Males,2007,0.32,0.91,0.31,0.32,"12,020","3,807,550"
Canada,Diabetes,'20-34',Males,2007,0.96,0.55,0.95,0.97,"32,640","3,388,400"
Canada,Diabetes,'35-49',Males,2007,4.16,0.25,4.14,4.18,"163,410","3,925,730"
Canada,Diabetes,'50-64',Males,2007,13.07,0.15,13.03,13.11,"427,040","3,267,450"
Canada,Diabetes,'65-79',Males,2007,25.1,0.16,25.02,25.18,"402,580","1,603,990"
Canada,Diabetes,'80+',Males,2007,24.93,0.28,24.79,25.07,"125,960","505,290"
Canada,Diabetes,'1+',Both sexes,2008,6.95,0.07,6.94,6.96,"2,346,500","33,773,550"
Canada,Diabetes,'1-19',Both sexes,2008,0.32,0.65,0.31,0.32,"23,660","7,448,260"
Canada,Diabetes,'20-34',Both sexes,2008,1.08,0.37,1.07,1.08,"73,830","6,865,210"
Canada,Diabetes,'35-49',Both sexes,2008,4.11,0.18,4.1,4.13,"320,340","7,788,900"
Canada,Diabetes,'50-64',Both sexes,2008,11.8,0.11,11.78,11.83,"800,530","6,781,480"
Canada,Diabetes,'65-79',Both sexes,2008,22.98,0.11,22.93,23.03,"797,000","3,467,970"
Canada,Diabetes,'80+',Both sexes,2008,23.29,0.17,23.21,23.37,"331,130","1,421,740"
Canada,Diabetes,'1+',Females,2008,6.52,0.09,6.51,6.54,"1,114,460","17,080,180"
Canada,Diabetes,'1-19',Females,2008,0.31,0.94,0.3,0.31,"11,210","3,632,080"
Canada,Diabetes,'20-34',Females,2008,1.17,0.5,1.16,1.18,"40,030","3,426,070"
Canada,Diabetes,'35-49',Females,2008,3.88,0.26,3.86,3.9,"150,980","3,891,650"
Canada,Diabetes,'50-64',Females,2008,10.23,0.17,10.2,10.26,"348,920","3,410,920"
Canada,Diabetes,'65-79',Females,2008,20.28,0.16,20.22,20.35,"369,630","1,822,340"
Canada,Diabetes,'80+',Females,2008,21.59,0.23,21.49,21.69,"193,690","897,100"
Canada,Diabetes,'1+',Males,2008,7.38,0.09,7.37,7.39,"1,232,040","16,693,370"
Canada,Diabetes,'1-19',Males,2008,0.33,0.9,0.32,0.33,"12,470","3,816,190"
Canada,Diabetes,'20-34',Males,2008,0.98,0.54,0.97,0.99,"33,790","3,439,130"
Canada,Diabetes,'35-49',Males,2008,4.35,0.24,4.32,4.37,"169,350","3,897,230"
Canada,Diabetes,'50-64',Males,2008,13.4,0.15,13.36,13.44,"451,620","3,370,560"
Canada,Diabetes,'65-79',Males,2008,25.97,0.15,25.89,26.05,"427,380","1,645,640"
Canada,Diabetes,'80+',Males,2008,26.2,0.27,26.06,26.34,"137,440","524,640"
Canada,Diabetes,'1+',Both sexes,2009,7.27,0.06,7.27,7.28,"2,486,360","34,180,890"
Canada,Diabetes,'1-19',Both sexes,2009,0.32,0.64,0.32,0.33,"24,140","7,447,800"
Canada,Diabetes,'20-34',Both sexes,2009,1.1,0.36,1.09,1.1,"76,390","6,963,280"
Canada,Diabetes,'35-49',Both sexes,2009,4.3,0.17,4.28,4.31,"332,480","7,740,230"
Canada,Diabetes,'50-64',Both sexes,2009,12.17,0.11,12.15,12.2,"852,010","6,999,930"
Canada,Diabetes,'65-79',Both sexes,2009,23.7,0.11,23.65,23.75,"844,330","3,563,240"
Canada,Diabetes,'80+',Both sexes,2009,24.35,0.17,24.27,24.43,"357,020","1,466,420"
Canada,Diabetes,'1+',Females,2009,6.82,0.09,6.81,6.83,"1,178,420","17,284,710"
Canada,Diabetes,'1-19',Females,2009,0.31,0.94,0.31,0.32,"11,400","3,631,950"
Canada,Diabetes,'20-34',Females,2009,1.19,0.49,1.17,1.2,"41,220","3,474,380"
Canada,Diabetes,'35-49',Females,2009,4.05,0.25,4.03,4.07,"156,660","3,870,080"
Canada,Diabetes,'50-64',Females,2009,10.57,0.16,10.54,10.61,"372,220","3,521,140"
Canada,Diabetes,'65-79',Females,2009,20.86,0.16,20.8,20.93,"389,520","1,867,120"
Canada,Diabetes,'80+',Females,2009,22.54,0.22,22.45,22.64,"207,400","920,020"
Canada,Diabetes,'1+',Males,2009,7.74,0.09,7.73,7.75,"1,307,950","16,896,190"
Canada,Diabetes,'1-19',Males,2009,0.33,0.89,0.33,0.34,"12,730","3,815,850"
Canada,Diabetes,'20-34',Males,2009,1.01,0.53,1,1.02,"35,170","3,488,890"
Canada,Diabetes,'35-49',Males,2009,4.54,0.24,4.52,4.56,"175,820","3,870,140"
Canada,Diabetes,'50-64',Males,2009,13.79,0.14,13.75,13.83,"479,790","3,478,790"
Canada,Diabetes,'65-79',Males,2009,26.81,0.15,26.74,26.89,"454,800","1,696,100"
Canada,Diabetes,'80+',Males,2009,27.38,0.26,27.24,27.52,"149,620","546,390"
Canada,Diabetes,'1+',Both sexes,2010,7.54,0.06,7.53,7.55,"2,612,720","34,642,020"
Canada,Diabetes,'1-19',Both sexes,2010,0.33,0.64,0.32,0.33,"24,400","7,451,090"
Canada,Diabetes,'20-34',Both sexes,2010,1.1,0.36,1.09,1.11,"78,130","7,088,180"
Canada,Diabetes,'35-49',Both sexes,2010,4.43,0.17,4.41,4.44,"340,570","7,696,480"
Canada,Diabetes,'50-64',Both sexes,2010,12.42,0.11,12.39,12.44,"897,040","7,223,610"
Canada,Diabetes,'65-79',Both sexes,2010,24.25,0.11,24.2,24.3,"888,940","3,665,380"
